AvyYear,YYYY,MM,DD,Location,Trigger,D Size,Setting,State,lat,lon,PrimaryActivity,TravelMode,Killed,Description,Date
2010,2010,3,30,"Near Baldy Peak, east of Ridgway",,,BC,CO,38.12291,-107.67303,Climber,Ski,1,,2010-03-30
2010,2010,3,19,Southwest of Creede,,,TN,CO,37.74434,-107.10425,Resident,Foot,2,,2010-03-19
2010,2010,3,12,Near Antora Peak south of Buena Vista,,,BC,CO,38.32872,-106.23696,Snowmobiler,Snowmobile,1,,2010-03-12
2010,2010,3,10,"Steep Gully #1, west of Arapahoe Basin Ski Area",,,BC,CO,39.63599,-105.88544,Backcountry Tourer,Snowboard,1,,2010-03-10
2010,2010,2,23,Lindley Backcountry Hut south of Aspen,,,BC,CO,39.00458,-106.80244,Backcountry Tourer,Ski,1,,2010-02-23
2010,2010,2,13,"South Fork Eagle River, Alaska Three Bowls",,,BC,AK,61.245,-149.438,Backcountry Tourer,Ski,1,,2010-02-13
2010,2010,2,13,"Grandview, Placer River Drainage, Chugach NF",,,BC,AK,60.63375,-149.0722,Snowmobiler,Snowmobile,2,,2010-02-13
2010,2010,2,11,"Near the Ridgway Hut, San Juan Mountains",,,BC,CO,38.02697,-107.76825,Backcountry Tourer,Ski,1,,2010-02-11
2010,2010,1,6,"Battle Mountain, Vail sidecountry",,,BC,CO,39.5595,-106.34039,Backcountry Tourer,Snowboard,1,,2010-01-06
2009,2008,12,27,"Gravel Mountain, north of Granby",,,BC,CO,40.2676,-105.9995,Snowmobiler,Snowmobile,2,,2008-12-27
2009,2008,12,17,Northwest of Crested Butte,,,BC,CO,38.89737,-107.01826,Backcountry Tourer,Snowboard,1,,2008-12-17
2009,2008,12,14,Near Aspen Ski Area,,,BC,CO,39.13588,-106.8024,Sidecountry Rider,Ski,1,,2008-12-14
2008,2008,2,1,Little Box Canyon,,,BC,CO,39.79637,-107.65328,Snowmobiler,Snowmobile,1,,2008-02-01
2008,2008,1,12,"King Tut, East Vail backcountry southeast of Vail",,,BC,CO,39.59875,-106.29621,Sidecountry Rider,Ski,1,,2008-01-12
2008,2008,1,10,Blanca Peak,,,BC,CO,37.56332394,-105.503296,Climber,,1,,2008-01-10
2008,2008,1,4,"CDC, East Vail backcountry southeast of Vail",,,BC,CO,39.602776406,-106.298302,Sidecountry Rider,Snowboard,1,,2008-01-04
2008,2007,12,2,Cameron Pass,,,BC,CO,40.523520469,-105.873138,Hiker,Snowshoe,1,,2007-12-02
2007,2007,3,13,Mount Shimer,,,BC,CO,39.100218794,-106.731148,Backcountry Tourer,Snowboard,1,,2007-03-13
2007,2007,3,13,Mount Shimer,,,BC,CO,39.100218794,-106.731148,Backcountry Tourer,Ski,1,,2007-03-13
2007,2007,3,3,"Echo Lake, Mt Evans",,,BC,CO,39.64455,-105.58999,Backcountry Tourer,Snowshoe,1,,2007-03-03
2007,2007,2,4,North Peak,,,BC,CO,37.484934842,-106.541466,Snowmobiler,,1,,2007-02-04
2007,2006,12,21,Snowmass,,,SA,CO,39.174177938,-106.944435,Inbounds Rider,Ski,1,,2006-12-21
2006,2006,1,1,Trap Peak,,,BC,CO,40.518233536,-105.84417,Snowmobiler,Snowmobile,2,,2006-01-01
2006,2005,12,22,Kelso Mountain,,,BC,CO,39.649978631,-105.796799,Hiker,,1,,2005-12-22
2006,2005,11,6,"Berthoud Pass, Mines 2",,,BC,CO,39.799766685,-105.765465,Backcountry Tourer,Ski,1,,2005-11-06
2005,2005,5,20,ARAPAHOE BASIN,,,SA,CO,39.635703455,-105.878418,Inbounds Rider,Ski,1,,2005-05-20
2005,2005,4,1,GRAND MESA CLIFFS,,,BC,CO,39.054440584,-108.052078004,Backcountry Tourer,Ski,1,,2005-04-01
2005,2005,3,24,BRECKENRIDGE QUANDARY PEAK SOUTH COULOIR,,,BC,CO,39.389772648,-106.102867,Climber,Foot,1,,2005-03-24
2005,2005,3,6,ASPEN HIGHLANDS FIVE FINGER BOWL,,,BC,CO,39.12319169,-106.875687,Sidecountry Rider,,1,,2005-03-06
2005,2005,1,3,BUFFALO PASS SODA MOUNTAIN,,,BC,CO,40.550129054,-106.718529,Backcountry Tourer,Ski,1,,2005-01-03
2004,2004,4,9,SAWATCH RANGE / BROWNS PEAK,,,BC,CO,38.959803982,-106.448074,Hiker,Snowshoe,1,,2004-04-09
2004,2004,3,20,SAWATCH RANGE / LA PLATA PEAK,,,BC,CO,39.031981569,-106.483955,Climber,,1,,2004-03-20
2004,2004,3,10,BRECKENRIDGE / MT GUYOT,,,BC,CO,39.4691953,-105.935242,Snowmobiler,,1,,2004-03-10
2003,2003,3,22,LA PLATA MTNS / BURRO MTN,,,BC,CO,37.67885051,-108.033371003,Snowmobiler,,1,,2003-03-22
2003,2003,3,20,ARAPAHOE BASIN / PORCUPINE MTN,,,BC,CO,39.614879361,-105.914383,Backcountry Tourer,Ski,1,,2003-03-20
2003,2003,3,9,SAWATCH RANGE / COTTONWOOD PASS / PTARMIGAN LAKE,,,BC,CO,38.777370585,-106.390312,Snowmobiler,,1,,2003-03-09
2003,2003,3,5,ST ELMO / SAWATCH RANGE / HANCOCK PASS,,,BC,CO,38.621158775,-106.370575,Snowmobiler,,1,,2003-03-05
2003,2003,2,23,SAWATCH RANGE / ELK HEAD PASS /MISSOURI BASIN NR BELFORD,,,BC,CO,38.950260845,-106.363106,Backcountry Tourer,Ski,1,,2003-02-23
2003,2003,2,17,DRY GULCH / SNOOPY,,,BC,CO,39.713195382,-105.90683,Climber,,1,,2003-02-17
2002,2002,3,17,FLATTOPS / PAGODA PEAK,,,BC,CO,40.139224219,-107.348953001,Snowmobiler,,1,,2002-03-17
2002,2002,3,15,TELLURIDE OB / TEMPTER BOWL,,,SA,CO,37.901214044,-107.821030002,Inbounds Rider,Snowboard,1,,2002-03-15
2002,2002,3,14,ASHCROFT / LINDLEY HUT,,,BC,CO,39.004812368,-106.801826,Backcountry Tourer,Ski,1,,2002-03-14
2002,2002,3,14,ASPEN MTN OB / PANDORAS,,,SA,CO,39.152750204,-106.809509,Sidecountry Rider,Ski,1,,2002-03-14
2002,2002,2,24,GLENWOOD SPRINGS / MINER BASIN,,,BC,CO,39.360682131,-107.429977001,Snowmobiler,,1,,2002-02-24
2002,2002,2,6,CRYSTAL PEAK / FRIENDS HUT,,,BC,CO,38.958063447,-106.798096,Backcountry Tourer,Ski,1,,2002-02-06
2002,2002,2,1,ASPEN HIGHLANDS,,,SA,CO,39.167724914,-106.866333,Sidecountry Rider,Ski,1,,2002-02-01
2002,2001,11,28,YANKEE DOODLE LAKE,,,BC,CO,39.93797283,-105.655472,Backcountry Tourer,Ski,1,,2001-11-28
2001,2001,4,3,TENMILE RANGE / W SIDE,,,BC,CO,39.458460511,-106.12999,Snowmobiler,,1,,2001-04-03
2001,2001,3,18,STEAMBOAT / FARWELL MTN,,,BC,CO,40.825879513,-106.842384,Backcountry Tourer,Ski,1,,2001-03-18
2001,2001,2,25,CRESTED BUTTE OHIO PASS,,,BC,CO,38.831266329,-107.096786,Backcountry Tourer,Ski,1,,2001-02-25
2001,2000,12,29,CAMERON PASS DIAMOND PKS,,,BC,CO,40.514811401,-105.899963,Snowmobiler,,1,,2000-12-29
2000,2000,4,21,ABASIN MARJORIE BOWL,,,SA,CO,39.639007489,-105.864685,Sidecountry Rider,Ski,1,,2000-04-21
2000,2000,3,17,ASPEN HIGHLANDS,,,SA,CO,39.130912374,-106.888649,Backcountry Tourer,Ski,2,,2000-03-17
2000,2000,1,23,JONES PASS,,,BC,CO,39.774241429,-105.889061,Hiker,Snowshoe,1,,2000-01-23
2000,1999,12,21,QUANDARY PEAK,,,BC,CO,39.389971675,-106.097374,Backcountry Tourer,Ski,1,,1999-12-21
2000,1999,12,14,CAMERON PASS,,,BC,CO,40.513930407,-105.897987,Backcountry Tourer,Ski,1,,1999-12-14
